Year,Rk,Name,YoB,Votes,X.vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,Runoff,Special,NumBallots,VeteransCommittee,NegroLeagues,position,method
2013,1,Craig Biggio,1st,388,68.20%,169,57,20,62.1,40.6,51.3,54.4,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4*287/D9,0,0,569,0,0,2B,0
2013,2,Jack Morris,14th,385,67.70%,122,39,18,39.3,30.8,35.1,57.9,568,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,*1/D,0,0,569,0,0,P,0
2013,3,Jeff Bagwell,3rd,339,59.60%,150,59,15,76.7,46.7,61.7,51.5,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3/D9,0,0,569,0,0,1B,0
2013,4,Mike Piazza,1st,329,57.80%,207,62,16,56.1,40.7,48.4,40.7,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2D3,0,0,569,0,0,C,0
2013,5,Tim Raines,6th,297,52.20%,90,47,23,66.2,41.1,53.7,50.7,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*78D4/9,0,0,569,0,0,LF,0
2013,6,Lee Smith,11th,272,47.80%,135,13,18,27.6,19.7,23.7,32.3,1023,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1,0,0,569,0,0,P,0
2013,7,Curt Schilling,1st,221,38.80%,171,46,20,76.1,46.7,61.4,57.9,571,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1,0,0,569,0,0,P,0
2013,8,Roger Clemens,1st,214,37.60%,332,73,24,133.9,64,99,57.9,709,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,0,0,569,0,0,P,0
2013,9,Barry Bonds,1st,206,36.20%,340,76,22,158.1,71.1,114.6,50.7,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*78D/9,0,0,569,0,0,LF,0
2013,10,Edgar Martinez,4th,204,35.90%,132,50,18,64.4,41.8,53.1,53.4,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*5/3,0,0,569,0,0,DH,0
2013,11,Alan Trammell,12th,191,33.60%,118,40,20,67.1,43.3,55.2,52.1,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6D5/478,0,0,569,0,0,SS,0
2013,12,Larry Walker,3rd,123,21.60%,148,58,17,69.7,43.1,56.4,55.4,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9387/D45,0,0,569,0,0,RF,0
2013,13,Fred McGriff,4th,118,20.70%,100,48,19,48.2,33.2,40.7,51.5,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,0,0,569,0,0,1B,0
2013,14,Dale Murphy,15th,106,18.60%,116,34,18,42.6,39,40.8,54.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*9372,0,0,569,0,0,CF,0
2013,15,Mark McGwire,7th,96,16.90%,170,42,16,58.7,40.1,49.4,51.5,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D/59,0,0,569,0,0,1B,0
2013,16,Don Mattingly,13th,75,13.20%,134,34,14,39.8,34.4,37.1,51.5,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D97/548,0,0,569,0,0,1B,0
2013,17,Sammy Sosa,1st,71,12.50%,202,52,18,54.8,42.2,48.5,55.4,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*98D/7,0,0,569,0,0,RF,0
2013,18,Rafael Palmeiro,3rd,50,8.80%,178,57,20,66.1,36.6,51.3,51.5,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*D7/98,0,0,569,0,0,1B,0
2013,19,Bernie Williams,2nd,19,3.30%,134,48,16,45.9,35.7,40.8,54.8,2076,7869,1366,2336,287,1257,147,1069,0.297,0.381,0.477,0.858,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8D9/7,0,0,569,0,0,CF,0
2013,20,Kenny Lofton,1st,18,3.20%,91,42,17,64.9,42,53.5,54.8,2103,8120,1528,2428,130,781,622,945,0.299,0.372,0.423,0.794,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*87/D9,0,0,569,0,0,CF,0
