Year,Rk,Name,YoB,Votes,NumBallots,pct,active
2013,1,Craig Biggio,1,388,569,68.19,0
2013,2,Jack Morris,14,385,569,67.66,0
2013,3,Jeff Bagwell,3,339,569,59.58,0
2013,4,Mike Piazza,1,329,569,57.82,0
2013,5,Tim Raines,6,297,569,52.2,0
2013,6,Lee Smith,11,272,569,47.8,0
2013,7,Curt Schilling,1,221,569,38.84,0
2013,8,Roger Clemens,1,214,569,37.61,0
2013,9,Barry Bonds,1,206,569,36.2,0
2013,10,Edgar Martinez,4,204,569,35.85,0
2013,11,Alan Trammell,12,191,569,33.57,0
2013,12,Larry Walker,3,123,569,21.62,0
2013,13,Fred McGriff,4,118,569,20.74,0
2013,14,Dale Murphy,15,106,569,18.63,0
2013,15,Mark McGwire,7,96,569,16.87,0
2013,16,Don Mattingly,13,75,569,13.18,0
2013,17,Sammy Sosa,1,71,569,12.48,0
2013,18,Rafael Palmeiro,3,50,569,8.79,0
2013,19,Bernie Williams,2,19,569,3.34,0
2013,20,Kenny Lofton,1,18,569,3.16,0
2013,21,Sandy Alomar,1,16,569,2.81,0
2013,22,Julio Franco,1,6,569,1.05,0
2013,23,David Wells,1,5,569,0.88,0
2013,24,Steve Finley,1,4,569,0.7,0
2013,25,Shawn Green,1,2,569,0.35,0
2013,26,Aaron Sele,1,1,569,0.18,0
2013,27,Jeff Cirillo,1,0,569,0,0
2013,28,Jeff Conine,1,0,569,0,0
2013,29,Reggie Sanders,1,0,569,0,0
2013,30,Royce Clayton,1,0,569,0,0
2013,31,Roberto Hernandez,1,0,569,0,0
2013,32,Ryan Klesko,1,0,569,0,0
2013,33,Todd Walker,1,0,569,0,0
2013,34,Rondell White,1,0,569,0,0
2013,35,Jose Mesa,1,0,569,0,0
2013,36,Woody Williams,1,0,569,0,0
2013,37,Mike Stanton,1,0,569,0,0
2012,1,Barry Larkin,3,495,573,86.39,0
2012,2,Jack Morris,13,382,573,66.67,0
2012,3,Jeff Bagwell,2,321,573,56.02,0
2012,4,Lee Smith,10,290,573,50.61,0
2012,5,Tim Raines,5,279,573,48.69,0
2012,6,Alan Trammell,11,211,573,36.82,0
2012,7,Edgar Martinez,3,209,573,36.47,0
2012,8,Fred McGriff,3,137,573,23.91,0
2012,9,Larry Walker,2,131,573,22.86,0
2012,10,Mark McGwire,6,112,573,19.55,0
2012,11,Don Mattingly,12,102,573,17.8,0
2012,12,Dale Murphy,14,83,573,14.49,0
2012,13,Rafael Palmeiro,2,72,573,12.57,0
2012,14,Bernie Williams,1,55,573,9.6,0
2012,15,Juan Gonzalez,2,23,573,4.01,0
2012,16,Vinny Castilla,1,6,573,1.05,0
2012,17,Tim Salmon,1,5,573,0.87,0
2012,18,Bill Mueller,1,4,573,0.7,0
2012,19,Brad Radke,1,2,573,0.35,0
2012,20,Javy Lopez,1,1,573,0.17,0
2012,21,Eric Young,1,1,573,0.17,0
2012,22,Terry Mulholland,1,0,573,0,0
2012,23,Tony Womack,1,0,573,0,0
2012,24,Phil Nevin,1,0,573,0,0
