Player,Mitchell Report allegation,Post-report player response,Career status following report,Category
Marvin Benard,"After [Dusty] Baker learned of the allegations, he asked Benard if they were true. According to Baker, Benard admitted he had used steroids previously but said that he had stopped.[7]",,Last played in 2003.,BALCO scandal
Barry Bonds,Peter Magowan said in an interview that during a phone conversation he once asked Barry Bonds if he took steroids. Bonds replied that he used a substance for sleeping problems and arthritis. Magowan says Bonds claimed he did not try to hide his use of the substance from the rest of his team.[8],,Did not play in Major leagues following 2007 season. See also Barry Bonds perjury case.,BALCO scandal
Bobby Estalella,"Ellen Harrigan, an administrator in the Dodgers' scouting department, kept notes of a Dodgers meeting to discuss the possible signing of Estalella. Among the comments she recorded was an observation by one of the participants that Estalella was a ""poster boy for the chemicals.""[9]",,Last played in 2004. Agreed to testify against Barry Bonds.,BALCO scandal
Jason Giambi,"In 2002, Greg Anderson, Jason Giambi's personal trainer, arranged a blood test for Giambi in which the player tested positive for Deca-Durabolin. Anderson warned Giambi to stop using that substance because it remains detectable long after use. He suggested an alternative regimen of performance-enhancing drugs that, if followed, would never be detected by the MLB's tests, which were to begin in 2003.[10]",,"Has continued playing, currently for the Rockies.",BALCO scandal
Jeremy Giambi,"Jeremy Giambi told the Kansas City Star that he used steroids while in MLB, and apologized.[11]",,Last played in 2003. Plans to testify against Barry Bonds,BALCO scandal
Armando Rios,Ríos was included in a client list that Victor Conte gave to federal agents following a raid on his BALCO establishment.[12],,Last played in 2003.,BALCO scandal
Benito Santiago,"In 2003, a Giants clubhouse attendant found syringes in Santiago's locker. He brought them to Stan Conte, the Giants' trainer, who replied saying he ""would take care of it"". The attendant recalled that assistant trainer Dave Groeschner also was present at the time.[13]",,Last played in 2005.,BALCO scandal
Gary Sheffield,A Sheffield FedEx receipt to BALCO in February 2003 was cited by federal agents for their search warrant on Greg Anderson's condominium.[14],,Last played in 2009.,BALCO scandal
Randy Velarde,Velarde admitted through his lawyer that he obtained performance-enhancing substances from Greg Anderson in 2003.[15],,Last played in 2002.,BALCO scandal
Chad Allen,Admitted to purchasing Winstrol from Radomski and using it during the 2003 off-season in order to accelerate his recovery from a knee injury.[16],"I think a lot of people were surprised to see my name... I made a mistake. I know I am going to pay for it. I did something wrong five years ago out of stupidity. If somebody holds that against me, it is their decision. But I certainly wasn't going to lie.[17]",,KirkRadomskiClients
Mike Bell,"Admitted to purchasing one human growth hormone kit from Radomski and using ""most of it"", during the 2003 off-season.[18]","I'm glad all this stuff came out, and I can move on and concentrate on next year. ""I have a chance to show people that I made a mistake. Things are tough at times, but you just gotta persevere through it. I can't take back what I did, but I can turn it into a positive."" ""I don't think this defines who I am.""[19]",,KirkRadomskiClients
Gary Bennett,"Made one purchase of two kits of human growth hormone from Radomski. Radomski provided a check to Mitchell which showed the $3,200 transaction. Bennett declined interview.[20]",Bennett admitted to using HGH in 2003 to heal from a knee injury.[21],,KirkRadomskiClients
Larry Bigbie,"Admitted to purchasing and using a variety of performance-enhancing substances from Radomski from 2001 to 2005, including human growth hormone, Deca-Durabolin, Sustanon, testosterone, and anti-estrogen drugs.[22]",,,KirkRadomskiClients
Kevin Brown,Purchased human growth hormone and Deca-Durabolin from Radomski. Radomski provided to Mitchell the overnight shipping parcels Brown used to send him cash payments. Brown declined interview.[23],,,KirkRadomskiClients
Mark Carreon,"Radomski claimed he sold Dianabol pills to Carreon in 1996, but was unable to produce evidence of any transactions. Carreon did not respond to requests for interview.[24]","Regarding the Mitchell Report, the following is true - towards the end of my 18-year career, regretfully on one occasion I experimented with a performance-enhancing substance, however, the remaining 17 years were unscathed by this one error in judgment. One point that should be made. I received a certified letter requesting my response to these allegations merely 24 hours prior to the release, leaving little time to act. Meanwhile, here in the present, I support the challenge that lay before the Players Association, current players and owners in restoring the great game of baseball.[25]",,KirkRadomskiClients
Jason Christiansen,"Purchased one human growth hormone kit from Radomski in 2002. Radomski provided a check to Mitchell showing the $1,600 transaction. Christiansen did not respond to requests for interview.[26]",,,KirkRadomskiClients
