Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,pos,
Jeff Bagwell,150,59,15,79.9,48.3,64.1,54.8,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,,,,,,,,,,,,,,*3H/D9,
Tim Raines,91,47,23,69.4,42.4,55.9,53.6,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,,,,,,,,,,,,,,*7H8D4/9,
Ivan Rodriguez,226,59,21,68.7,39.8,54.3,44.2,2543,9592,1354,2844,311,1332,127,513,0.296,0.334,0.464,0.798,106,,,,,,,,,,,,,,*2HD/34,
Trevor Hoffman,159,19,18,28,19.4,23.7,32.6,1007,34,1,4,0,5,0,0,0.118,0.118,0.176,0.294,-22,61,75,2.87,141,1.058,1035,0,601,1089.1,846,100,307,1133,*1,
Vladimir Guerrero,209,59,16,59.5,41.2,50.3,57.2,2147,8155,1328,2590,449,1496,181,737,0.318,0.379,0.553,0.931,140,,,,,,,,,,,,,,*9*DH/87,
Edgar Martinez,132,50,18,68.4,43.7,56,55.7,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5H/3,
Roger Clemens,332,73,24,139.2,65.9,102.6,61.6,95,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,
Barry Bonds,340,77,22,162.8,72.7,117.7,53.6,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78HD/9,
Mike Mussina,121,54,18,82.8,44.5,63.6,61.6,22,52,3,9,0,5,0,1,0.173,0.189,0.192,0.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1,
Curt Schilling,171,46,20,79.5,48.6,64.1,61.6,402,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1/H,
