Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,position,method,induction.year,first.year,last.year,Num.Years.On.Ballot,mitchell.report
Craig Biggio,169,57,20,62.1,40.6,51.3,54.4,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4*287/D9,2B,0,0,1988,2007,1,0
Jack Morris,122,39,18,39.3,30.8,35.1,57.9,568,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,*1/D,P,0,0,1977,1994,14,0
Jeff Bagwell,150,59,15,76.7,46.7,61.7,51.5,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3/D9,1B,0,0,1991,2005,3,0
Mike Piazza,207,62,16,56.1,40.7,48.4,40.7,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2D3,C,0,0,1992,2007,1,0
Tim Raines,90,47,23,66.2,41.1,53.7,50.7,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*78D4/9,LF,0,0,1979,2002,6,0
Lee Smith,135,13,18,27.6,19.7,23.7,32.3,1023,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1,P,0,0,1980,1997,11,0
Curt Schilling,171,46,20,76.1,46.7,61.4,57.9,571,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1,P,0,0,1988,2007,1,0
Roger Clemens,332,73,24,133.9,64,99,57.9,709,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,P,0,0,1984,2007,1,1
Barry Bonds,340,76,22,158.1,71.1,114.6,50.7,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*78D/9,LF,0,0,1986,2007,1,1
Edgar Martinez,132,50,18,64.4,41.8,53.1,53.4,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*5/3,DH,0,0,1987,2004,4,0
Alan Trammell,118,40,20,67.1,43.3,55.2,52.1,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6D5/478,SS,0,0,1977,1996,12,0
Larry Walker,148,58,17,69.7,43.1,56.4,55.4,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9387/D45,RF,0,0,1989,2005,3,0
Fred McGriff,100,48,19,48.2,33.2,40.7,51.5,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,1B,0,0,1986,2004,4,0
Dale Murphy,116,34,18,42.6,39,40.8,54.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*9372,CF,0,0,1976,1993,15,0
Mark McGwire,170,42,16,58.7,40.1,49.4,51.5,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D/59,1B,0,0,1986,2001,7,0
Don Mattingly,134,34,14,39.8,34.4,37.1,51.5,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D97/548,1B,0,0,1982,1995,13,0
Sammy Sosa,202,52,18,54.8,42.2,48.5,55.4,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*98D/7,RF,0,0,1989,2007,1,0
Rafael Palmeiro,178,57,20,66.1,36.6,51.3,51.5,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*D7/98,1B,0,0,1986,2005,3,0
Bernie Williams,134,48,16,45.9,35.7,40.8,54.8,2076,7869,1366,2336,287,1257,147,1069,0.297,0.381,0.477,0.858,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8D9/7,CF,0,0,1991,2006,2,0
Kenny Lofton,91,42,17,64.9,42,53.5,54.8,2103,8120,1528,2428,130,781,622,945,0.299,0.372,0.423,0.794,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*87/D9,CF,0,0,1991,2007,1,0
Sandy Alomar,48,24,20,11.6,11.8,11.7,40.7,1377,4530,520,1236,112,588,25,212,0.273,0.309,0.406,0.716,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2/D3,C,0,0,1988,2007,1,0
Julio Franco,58,42,23,39.7,29.1,34.4,54.4,2527,8677,1285,2586,173,1194,281,917,0.298,0.365,0.417,0.782,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*4*3*D/579,SS,0,0,1982,2007,1,0
David Wells,88,40,21,49.2,29,39.1,57.9,660,178,8,23,0,5,0,3,0.129,0.148,0.14,0.289,-22,239,157,4.13,108,1.266,660,489,13,3439,3635,407,719,2201,*1,P,0,0,1987,2007,1,0
Steve Finley,72,36,19,40.4,30.4,35.4,54.8,2583,9397,1443,2548,304,1167,320,844,0.271,0.332,0.442,0.775,104,0,0,0,NA,1,1,0,0,1,0,0,1,0,*897/D1,CF,0,0,1989,2007,1,0
Shawn Green,62,33,15,31.4,29.5,30.4,55.4,1951,7082,1129,2003,328,1070,162,744,0.283,0.355,0.494,0.85,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9387D,RF,0,0,1993,2007,1,0
Aaron Sele,21,15,15,17.5,17.6,17.5,57.9,404,58,5,9,0,1,0,3,0.155,0.197,0.19,0.386,1,148,112,4.61,100,1.491,404,352,0,2153,2413,225,798,1407,*1,P,0,0,1993,2007,1,0
