Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,pos
Randy Johnson,331,65,22,102.1,62,82,61.8,619,625,20,78,1,40,0,19,0.125,0.153,0.152,0.305,-22,303,166,3.29,135,1.171,618,603,2,4135.1,3346,411,1497,4875,*1/7
Pedro Martinez,206,60,18,84,58.2,71.1,61.8,477,434,22,43,0,18,0,15,0.099,0.134,0.122,0.256,-32,219,100,2.93,154,1.054,476,409,3,2827.1,2221,239,760,3154,*1
John Smoltz,162,44,21,69.5,38.8,54.2,61.8,735,948,77,151,5,61,3,79,0.159,0.226,0.207,0.433,16,213,155,3.33,125,1.176,723,481,154,3473,3074,288,1010,3084,*1
Craig Biggio,169,57,20,65.1,41.6,53.4,57,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112,,,,,,,,,,,,,,*4*287/D9
Mike Piazza,207,62,16,59.4,43.1,51.2,43.1,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,143,,,,,,,,,,,,,,*2D3
Jeff Bagwell,150,59,15,79.6,48.2,63.9,54.2,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,,,,,,,,,,,,,,*3/D9
Tim Raines,90,47,23,69.1,42.2,55.6,53.3,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,,,,,,,,,,,,,,*78D4/9
Curt Schilling,171,46,20,79.9,49,64.5,61.8,571,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1
Roger Clemens,332,73,24,140.3,66.3,103.3,61.8,709,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1
Barry Bonds,340,76,22,162.4,72.7,117.6,53.3,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78D/9
Lee Smith,127,13,18,29.6,21.1,25.4,34.4,1023,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1
Edgar Martinez,132,50,18,68.3,43.6,56,55,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5/3
Alan Trammell,118,40,20,70.4,44.6,57.5,54.7,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,,,,,,,,,,,,,,*6D5/478
Mike Mussina,121,54,18,83,44.5,63.8,61.8,537,52,3,9,0,5,0,1,0.173,0.189,0.192,0.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1
Jeff Kent,122,51,17,55.2,35.6,45.4,57,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,,,,,,,,,,,,,,*453/D6
Fred McGriff,100,48,19,52.4,35.8,44.1,54.2,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3D
Larry Walker,148,58,17,72.6,44.6,58.6,58.1,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9387/D45
Gary Sheffield,158,61,22,60.2,37.9,49,58.1,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140,,,,,,,,,,,,,,*9*7*5*D6/3
Mark McGwire,170,42,16,62,41.8,51.9,54.2,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,,,,,,,,,,,,,,*3D/59
Don Mattingly,134,34,14,42.2,35.6,38.9,54.2,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,,,,,,,,,,,,,,*3D97/548
Sammy Sosa,202,52,18,58.4,43.7,51,58.1,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,,,,,,,,,,,,,,*98D/7
Nomar Garciaparra,112,41,14,44.2,43,43.6,54.7,1434,5586,927,1747,229,936,95,403,0.313,0.361,0.521,0.882,124,,,,,,,,,,,,,,*635/D4
Carlos Delgado,110,44,17,44.3,34.5,39.4,54.2,2035,7283,1241,2038,473,1512,14,1109,0.28,0.383,0.546,0.929,138,,,,,,,,,,,,,,*3D7/2
Troy Percival,85,14,14,17.5,15.1,16.3,34.4,703,5,0,0,0,0,0,0,0,0,0,0,-100,35,43,3.17,146,1.108,703,1,358,708.2,479,85,306,781,*1
Aaron Boone,4,14,12,13.5,15.2,14.3,55,1152,3871,519,1017,126,555,107,303,0.263,0.326,0.425,0.751,94,,,,,,,,,,,,,,*536/4D
Tom Gordon,44,15,21,35.3,23.4,29.3,34.4,893,2,0,0,0,0,0,0,0,0,0,0,-100,138,126,3.96,113,1.36,890,203,158,2108,1889,176,977,1928,*1/D
Darin Erstad,35,14,14,32.3,28.7,30.5,57.2,1654,6024,913,1697,124,699,179,475,0.282,0.336,0.407,0.743,93,,,,,,,,,,,,,,*3*8*7D/9
Cliff Floyd,22,22,17,25.9,25,25.4,53.3,1621,5319,824,1479,233,865,148,601,0.278,0.358,0.482,0.84,119,,,,,,,,,,,,,,*79D3/8
Tony Clark,24,16,15,12.5,15.8,14.2,54.2,1559,4532,629,1188,251,824,6,527,0.262,0.339,0.485,0.824,112,,,,,,,,,,,,,,*3D/7
Brian Giles,53,41,15,50.9,37.3,44.1,58.1,1847,6527,1121,1897,287,1078,109,1183,0.291,0.4,0.502,0.902,136,,,,,,,,,,,,,,*9*7*8D
Rich Aurilia,31,20,15,18.1,16.7,17.4,54.7,1652,5721,745,1576,186,756,23,450,0.275,0.328,0.433,0.762,99,,,,,,,,,,,,,,*6354/D
Eddie Guardado,46,6,17,13.7,11,12.3,34.4,908,1,0,0,0,0,0,0,0,0,0,0,-100,46,61,4.31,109,1.315,908,25,187,944.2,894,138,348,798,*1
Jason Schmidt,41,18,14,29.6,27.2,28.4,61.8,324,597,29,63,7,21,0,22,0.106,0.14,0.156,0.296,-23,130,96,3.96,110,1.321,323,314,0,1996.1,1846,184,792,1758,*1
Jermaine Dye,49,25,14,20.3,23.2,21.7,58.1,1763,6487,984,1779,325,1072,46,597,0.274,0.338,0.488,0.826,111,,,,,,,,,,,,,,*9D/7836
