,,,,,,,,,,,,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,
Rk,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,Pos Summary
1,y Chipper Jones\jonesch06,1st,410,97.2%,181,70,19,85.3,46.8,66.0,55.7,2499,8984,1619,2726,468,1623,150,1512,.303,.401,.529,.930,141,,,,,,,,,,,,,,*5*7H6/D9
2,y Vladimir Guerrero\guerrvl01,2nd,392,92.9%,209,59,16,59.5,41.2,50.3,57.2,2147,8155,1328,2590,449,1496,181,737,.318,.379,.553,.931,140,,,,,,,,,,,,,,*9*DH/87
3,y Jim Thome\thomeji01,1st,379,89.8%,156,57,22,72.9,41.5,57.2,54.8,2543,8422,1583,2328,612,1699,19,1747,.276,.402,.554,.956,147,,,,,,,,,,,,,,*3*D*5H
4,y Trevor Hoffman\hoffmtr01,3rd,337,79.9%,159,19,18,28.0,19.4,23.7,32.6,1007,34,1,4,0,5,0,0,.118,.118,.176,.294,-22,61,75,2.87,141,1.058,1035,0,601,1089.1,846,100,307,1133,*1
5,y Edgar Martinez HOF\martied01,9th,297,70.4%,132,50,18,68.4,43.7,56.0,55.7,2055,7213,1219,2247,309,1261,49,1283,.312,.418,.515,.933,147,,,,,,,,,,,,,,*D*5H/3
6,y Mike Mussina HOF\mussimi01,5th,268,63.5%,121,54,18,82.8,44.5,63.6,61.6,22,52,3,9,0,5,0,1,.173,.189,.192,.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1
7,y Roger Clemens\clemero02,6th,242,57.3%,332,73,24,139.2,65.9,102.6,61.6,95,179,5,31,0,12,0,13,.173,.236,.207,.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1
8,y Barry Bonds\bondsba01,6th,238,56.4%,340,77,22,162.8,72.7,117.7,53.6,2986,9847,2227,2935,762,1996,514,2558,.298,.444,.607,1.051,182,,,,,,,,,,,,,,*78HD/9
9,y Curt Schilling\schilcu01,6th,216,51.2%,171,46,20,79.5,48.6,64.1,61.6,402,773,39,117,0,29,1,25,.151,.178,.171,.348,-9,216,146,3.46,127,1.137,569,436,22,3261.0,2998,347,711,3116,*1/H
10,y Omar Vizquel\vizquom01,1st,156,37.0%,120,42,24,45.6,26.8,36.2,55.3,2968,10586,1445,2877,80,951,404,1028,.272,.336,.352,.688,82,,,,,,,,,,,,,,*65H4/D379
11,y Larry Walker HOF\walkela01,8th,144,34.1%,148,58,17,72.7,44.7,58.7,57.2,1988,6907,1355,2160,383,1311,230,913,.313,.400,.565,.965,141,,,,,,,,,,,,,,*9H387/D45
12,y Fred McGriff\mcgrifr01,9th,98,23.2%,100,48,19,52.6,36.0,44.3,54.8,2460,8757,1349,2490,493,1550,72,1305,.284,.377,.509,.886,134,,,,,,,,,,,,,,*3DH
13,y Manny Ramirez\ramirma02,2nd,93,22.0%,226,69,19,69.3,39.9,54.6,53.6,2302,8244,1544,2574,555,1831,38,1329,.312,.411,.585,.996,154,,,,,,,,,,,,,,*7*9*DH
14,y Jeff Kent\kentje01,5th,61,14.5%,123,51,17,55.4,35.8,45.6,57.0,2298,8498,1320,2461,377,1518,94,801,.290,.356,.500,.855,123,,,,,,,,,,,,,,*453H/D6
15,y Billy Wagner\wagnebi02,3rd,47,11.1%,107,24,16,27.7,19.8,23.7,32.6,810,20,1,2,0,1,0,1,.100,.143,.100,.243,-35,47,40,2.31,187,0.998,853,0,422,903.0,601,82,300,1196,*1
16,y Gary Sheffield\sheffga01,4th,47,11.1%,158,61,22,60.5,38.0,49.3,57.2,2576,9217,1636,2689,509,1676,253,1475,.292,.393,.514,.907,140,,,,,,,,,,,,,,*9*7*5*D6H/3
17,y Scott Rolen\rolensc01,1st,43,10.2%,99,40,17,70.1,43.6,56.9,55.7,2038,7398,1211,2077,316,1287,118,899,.281,.364,.490,.855,122,,,,,,,,,,,,,,*5/H
18,y Sammy Sosa\sosasa01,6th,33,7.8%,202,52,18,58.6,43.8,51.2,57.2,2354,8813,1475,2408,609,1667,234,929,.273,.344,.534,.878,128,,,,,,,,,,,,,,*98DH/7
19,y Andruw Jones\jonesan01,1st,31,7.3%,109,34,17,62.7,46.4,54.6,58.0,2196,7599,1204,1933,434,1289,152,891,.254,.337,.486,.823,111,,,,,,,,,,,,,,*89H7D/3
20,y X-Jamie Moyer\moyerja01,1st,10,2.4%,56,39,25,49.8,32.8,41.3,61.6,236,400,24,51,0,15,0,35,.128,.199,.140,.339,-8,269,209,4.25,103,1.322,696,638,0,4074.0,4231,522,1155,2441,*1/H
21,y X-Johan Santana\santajo02,1st,10,2.4%,82,35,12,51.7,45.0,48.3,61.6,117,248,11,40,1,9,0,9,.161,.191,.230,.421,13,139,78,3.20,136,1.132,360,284,1,2025.2,1726,220,567,1988,*1
